snapshot_utc,snapshot_date,snapshot_kind,event,deadline_time,id,web_name,team,position,now_cost,cost_change_event,cost_change_start,selected_by_percent,transfers_in_event,transfers_out_event,transfers_in,transfers_out,status,news,news_added,chance_of_playing_this_round,chance_of_playing_next_round,penalties_order,direct_freekicks_order,corners_and_indirect_freekicks_order,form,event_points,total_points,minutes,starts,goals_scored,assists,clean_sheets,goals_conceded,saves,defensive_contribution,clearances_blocks_interceptions,tackles,recoveries,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,ep_this,ep_next
2026-09-04T17:26:04+00:00,2026-09-04,deadline,3,2026-09-04T17:30:00Z,1,Raya,ARS,GKP,60,0,0,37.3,201552,226121,308286,308099,a,,,,,,,,6.0,6,12,180,2,0,0,2,0,1,0,2,0,19,0.00,0.00,0.00,0.53,6.0,6.0
2026-09-04T17:26:04+00:00,2026-09-04,deadline,3,2026-09-04T17:30:00Z,2,Arrizabalaga,ARS,GKP,50,0,0,0.1,597,1207,919,2596,a,,,,,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0
2026-09-04T17:26:04+00:00,2026-09-04,deadline,3,2026-09-04T17:30:00Z,3,Meslier,ARS,GKP,50,0,0,0.0,170,457,271,949,a,,,,,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0
2026-09-04T17:26:04+00:00,2026-09-04,deadline,3,2026-09-04T17:30:00Z,4,Gabriel,ARS,DEF,80,0,0,24.9,46586,341975,105351,466083,a,,,,,,,,6.5,8,13,180,2,0,0,2,0,0,14,12,2,7,0.18,0.03,0.21,0.53,6.5,6.5
2026-09-04T17:26:04+00:00,2026-09-04,deadline,3,2026-09-04T17:30:00Z,5,J.Timber,ARS,DEF,65,0,0,0.1,546,2433,947,5537,d,Groin injury - 25% chance of playing,2026-07-23T12:01:23.272929Z,0,25,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0
2026-09-04T17:26:04+00:00,2026-09-04,deadline,3,2026-09-04T17:30:00Z,6,Saliba,ARS,DEF,60,0,0,0.2,1100,5469,1946,12285,i,Back injury - Unknown return date,2026-07-23T12:01:23.289376Z,0,0,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0
2026-09-04T17:26:04+00:00,2026-09-04,deadline,3,2026-09-04T17:30:00Z,7,Lewis-Skelly,ARS,MID,55,0,0,0.7,8804,13388,18497,22439,a,,,,,,,,3.0,3,6,160,2,0,0,2,0,0,12,5,1,6,0.13,0.13,0.26,0.53,3.0,3.0
2026-09-04T17:26:04+00:00,2026-09-04,deadline,3,2026-09-04T17:30:00Z,8,Calafiori,ARS,DEF,57,1,2,44.5,511524,116842,821629,158475,a,,,,,,,,10.0,11,20,170,2,0,2,2,0,0,8,6,2,5,0.15,0.55,0.70,0.39,10.0,10.0
2026-09-04T17:26:04+00:00,2026-09-04,deadline,3,2026-09-04T17:30:00Z,9,Hincapie,ARS,DEF,54,0,-1,1.1,4411,35414,8321,76460,a,,,,,,,,0.5,0,1,9,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.15,0.5,0.5
2026-09-04T17:26:04+00:00,2026-09-04,deadline,3,2026-09-04T17:30:00Z,10,White,ARS,DEF,55,0,0,7.2,162029,115207,306970,140262,a,,2026-07-23T12:01:23.305229Z,100,100,,,,9.0,7,18,180,2,0,1,2,0,0,9,7,2,5,0.18,0.26,0.44,0.53,9.0,9.0
