snapshot_utc,snapshot_date,snapshot_kind,event,deadline_time,id,web_name,team,position,now_cost,cost_change_event,cost_change_start,selected_by_percent,transfers_in_event,transfers_out_event,transfers_in,transfers_out,status,news,news_added,chance_of_playing_this_round,chance_of_playing_next_round,penalties_order,direct_freekicks_order,corners_and_indirect_freekicks_order,form,event_points,total_points,minutes,ep_this,ep_next
2026-07-28T15:39:23+00:00,2026-07-28,daily,1,2026-08-21T17:30:00Z,1,Raya,ARS,GKP,60,0,0,30.0,0,0,0,0,a,,,,,,,,0.0,0,162,3330,,4.0
2026-07-28T15:39:23+00:00,2026-07-28,daily,1,2026-08-21T17:30:00Z,2,Arrizabalaga,ARS,GKP,50,0,0,0.2,0,0,0,0,a,,,,,,,,0.0,0,2,90,,2.6
2026-07-28T15:39:23+00:00,2026-07-28,daily,1,2026-08-21T17:30:00Z,3,Meslier,ARS,GKP,50,0,0,0.1,0,0,0,0,a,,,,,,,,0.0,0,0,0,,2.6
2026-07-28T15:39:23+00:00,2026-07-28,daily,1,2026-08-21T17:30:00Z,4,Gabriel,ARS,DEF,80,0,0,25.4,0,0,0,0,a,,,,,,,,0.0,0,209,2750,,4.0
2026-07-28T15:39:23+00:00,2026-07-28,daily,1,2026-08-21T17:30:00Z,5,J.Timber,ARS,DEF,65,0,0,0.6,0,0,0,0,i,Groin injury - Expected back 21 Aug,2026-07-23T12:01:23.272929Z,,0,,,,0.0,0,149,2452,,0.0
2026-07-28T15:39:23+00:00,2026-07-28,daily,1,2026-08-21T17:30:00Z,6,Saliba,ARS,DEF,60,0,0,0.5,0,0,0,0,i,Back injury - Unknown return date,2026-07-23T12:01:23.289376Z,,0,,,,0.0,0,137,2614,,0.0
2026-07-28T15:39:23+00:00,2026-07-28,daily,1,2026-08-21T17:30:00Z,7,Lewis-Skelly,ARS,MID,55,0,0,0.3,0,0,0,0,a,,,,,,,,0.0,0,29,697,,2.0
2026-07-28T15:39:23+00:00,2026-07-28,daily,1,2026-08-21T17:30:00Z,8,Calafiori,ARS,DEF,55,0,0,13.6,0,0,0,0,a,,,,,,,,0.0,0,109,1697,,2.5
2026-07-28T15:39:23+00:00,2026-07-28,daily,1,2026-08-21T17:30:00Z,9,Hincapie,ARS,DEF,55,0,0,5.1,0,0,0,0,a,,,,,,,,0.0,0,87,1787,,2.5
2026-07-28T15:39:23+00:00,2026-07-28,daily,1,2026-08-21T17:30:00Z,10,White,ARS,DEF,55,0,0,0.0,0,0,0,0,i,Knee injury - Expected back 21 Aug,2026-07-23T12:01:23.305229Z,,0,,,,0.0,0,45,699,,0.0
2026-07-28T15:39:23+00:00,2026-07-28,daily,1,2026-08-21T17:30:00Z,11,Mosquera,ARS,DEF,55,0,0,17.2,0,0,0,0,a,,,,,,,,0.0,0,40,986,,2.5
2026-07-28T15:39:23+00:00,2026-07-28,daily,1,2026-08-21T17:30:00Z,12,Saka,ARS,MID,95,0,0,10.7,0,0,0,0,a,,,,,1,2,6,0.0,0,157,2218,,3.2
2026-07-28T15:39:23+00:00,2026-07-28,daily,1,2026-08-21T17:30:00Z,13,Rice,ARS,MID,75,0,0,21.9,0,0,0,0,a,,,,,,1,5,0.0,0,184,3093,,2.6
2026-07-28T15:39:23+00:00,2026-07-28,daily,1,2026-08-21T17:30:00Z,14,Eze,ARS,MID,65,0,0,3.3,0,0,0,0,a,,,,,,3,,0.0,0,113,1885,,2.3
2026-07-28T15:39:23+00:00,2026-07-28,daily,1,2026-08-21T17:30:00Z,15,Ødegaard,ARS,MID,65,0,0,2.9,0,0,0,0,a,,,,,3,,8,0.0,0,74,1363,,2.3
2026-07-28T15:39:23+00:00,2026-07-28,daily,1,2026-08-21T17:30:00Z,16,Madueke,ARS,MID,65,0,0,0.4,0,0,0,0,a,,,,,,,7,0.0,0,72,1205,,2.3
2026-07-28T15:39:23+00:00,2026-07-28,daily,1,2026-08-21T17:30:00Z,17,Merino,ARS,MID,60,0,0,1.2,0,0,0,0,a,,,,,,,,0.0,0,67,1024,,2.1
2026-07-28T15:39:23+00:00,2026-07-28,daily,1,2026-08-21T17:30:00Z,18,Martinelli,ARS,MID,65,0,0,0.3,0,0,0,0,a,,,,,,,,0.0,0,57,1065,,2.3
2026-07-28T15:39:23+00:00,2026-07-28,daily,1,2026-08-21T17:30:00Z,19,Zubimendi,ARS,MID,55,0,0,1.4,0,0,0,0,a,,,,,,,,0.0,0,133,2991,,2.0
2026-07-28T15:39:23+00:00,2026-07-28,daily,1,2026-08-21T17:30:00Z,20,Dowman,ARS,MID,55,0,0,0.2,0,0,0,0,a,,,,,,,,0.0,0,16,152,,2.0
2026-07-28T15:39:23+00:00,2026-07-28,daily,1,2026-08-21T17:30:00Z,21,Nørgaard,ARS,MID,50,0,0,0.1,0,0,0,0,a,,,,,,,,0.0,0,7,101,,1.5
2026-07-28T15:39:23+00:00,2026-07-28,daily,1,2026-08-21T17:30:00Z,22,Nwaneri,ARS,MID,55,0,0,0.0,0,0,0,0,a,,,,,,,,0.0,0,8,165,,2.0
2026-07-28T15:39:23+00:00,2026-07-28,daily,1,2026-08-21T17:30:00Z,23,Fábio Vieira,ARS,MID,55,0,0,0.0,0,0,0,0,a,,,,,,,,0.0,0,0,0,,2.0
