snapshot_utc,snapshot_date,snapshot_kind,event,deadline_time,id,web_name,team,position,now_cost,cost_change_event,cost_change_start,selected_by_percent,transfers_in_event,transfers_out_event,transfers_in,transfers_out,status,news,news_added,chance_of_playing_this_round,chance_of_playing_next_round,penalties_order,direct_freekicks_order,corners_and_indirect_freekicks_order,form,event_points,total_points,minutes,starts,goals_scored,assists,clean_sheets,goals_conceded,saves,defensive_contribution,clearances_blocks_interceptions,tackles,recoveries,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,ep_this,ep_next
2026-09-19T00:30:59+00:00,2026-09-18,daily,6,2026-10-10T10:00:00Z,1,Raya,ARS,GKP,60,0,0,41.5,13327,1218,853726,593622,a,,,,,,,,5.8,0,29,360,4,0,0,3,1,7,0,6,0,44,0.00,0.01,0.01,2.72,5.8,5.8
2026-09-19T00:30:59+00:00,2026-09-18,daily,6,2026-10-10T10:00:00Z,2,Arrizabalaga,ARS,GKP,49,0,-1,0.1,9,8,1386,4021,a,,,,,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0
2026-09-19T00:30:59+00:00,2026-09-18,daily,6,2026-10-10T10:00:00Z,3,Meslier,ARS,GKP,49,0,-1,0.0,3,8,470,1468,a,,,,,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0
2026-09-19T00:30:59+00:00,2026-09-18,daily,6,2026-10-10T10:00:00Z,4,Gabriel,ARS,DEF,80,0,0,23.1,1051,5757,211294,848648,a,,,,,,,,4.8,0,24,360,4,0,0,3,1,0,32,29,3,13,0.51,0.06,0.57,2.72,4.8,4.8
2026-09-19T00:30:59+00:00,2026-09-18,daily,6,2026-10-10T10:00:00Z,5,J.Timber,ARS,DEF,65,0,0,0.3,698,122,22354,10875,a,,2026-07-23T12:01:23.272929Z,100,100,,,,0.2,0,1,45,0,0,0,0,0,0,3,2,1,5,0.00,0.01,0.01,1.57,0.2,0.2
2026-09-19T00:30:59+00:00,2026-09-18,daily,6,2026-10-10T10:00:00Z,6,Saliba,ARS,DEF,59,0,-1,0.2,13,70,3095,17623,i,Back injury - Unknown return date,2026-07-23T12:01:23.289376Z,0,0,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0
2026-09-19T00:30:59+00:00,2026-09-18,daily,6,2026-10-10T10:00:00Z,7,Lewis-Skelly,ARS,MID,55,0,0,0.6,61,227,28738,45031,a,,,,,,,,1.8,0,9,271,4,0,0,2,1,0,14,5,1,8,0.16,0.23,0.39,1.02,1.8,1.8
2026-09-19T00:30:59+00:00,2026-09-18,daily,6,2026-10-10T10:00:00Z,8,Calafiori,ARS,DEF,58,0,3,50.7,5088,1647,1585096,340154,a,,,,,,,,5.6,0,28,326,4,0,2,3,1,0,13,10,3,8,0.60,0.59,1.19,2.45,5.6,5.6
2026-09-19T00:30:59+00:00,2026-09-18,daily,6,2026-10-10T10:00:00Z,9,Hincapie,ARS,DEF,53,0,-2,0.9,73,242,14892,111953,a,,,,,,,,0.4,0,2,32,0,0,0,0,0,0,3,2,1,0,0.00,0.00,0.00,0.28,0.4,0.4
2026-09-19T00:30:59+00:00,2026-09-18,daily,6,2026-10-10T10:00:00Z,10,White,ARS,DEF,55,0,0,5.5,515,4513,453273,503294,a,,2026-09-15T19:30:09.494382Z,100,100,,,,4.2,0,21,315,4,0,1,2,1,0,18,12,6,9,0.18,0.29,0.47,1.15,4.2,4.2
2026-09-19T00:30:59+00:00,2026-09-18,daily,6,2026-10-10T10:00:00Z,11,Mosquera,ARS,DEF,53,0,-2,1.7,70,678,30235,459407,a,,2026-09-04T14:00:08.080310Z,100,100,,,,2.4,0,12,168,2,0,0,2,0,0,10,10,0,3,0.00,0.01,0.01,0.53,2.4,2.4
2026-09-19T00:30:59+00:00,2026-09-18,daily,6,2026-10-10T10:00:00Z,12,Saka,ARS,MID,95,0,0,13.1,8240,1441,687862,351292,a,,,,,1,2,2,6.0,0,30,336,4,3,0,3,1,0,29,8,5,16,2.88,0.43,3.31,2.58,6.0,6.0
2026-09-19T00:30:59+00:00,2026-09-18,daily,6,2026-10-10T10:00:00Z,13,Rice,ARS,MID,74,0,-1,12.4,689,1437,112535,644111,a,,,,,,1,1,3.8,0,19,321,4,0,2,3,1,0,34,16,5,13,0.10,0.63,0.73,2.19,3.8,3.8
2026-09-19T00:30:59+00:00,2026-09-18,daily,6,2026-10-10T10:00:00Z,14,Eze,ARS,MID,63,0,-2,1.0,119,298,21038,133142,a,,,,,,3,,0.6,0,3,68,0,0,0,0,0,0,5,0,0,5,0.04,0.07,0.11,0.79,0.6,0.6
2026-09-19T00:30:59+00:00,2026-09-18,daily,6,2026-10-10T10:00:00Z,15,Ødegaard,ARS,MID,68,0,3,20.1,6357,2483,1562077,461932,a,,,,,3,4,,5.4,0,27,305,4,2,0,3,1,0,21,4,6,11,1.01,1.30,2.31,2.46,5.4,5.4
2026-09-19T00:30:59+00:00,2026-09-18,daily,6,2026-10-10T10:00:00Z,16,Madueke,ARS,MID,62,0,-3,0.2,67,66,5347,24486,a,,,,,,,5,0.4,0,2,23,0,0,0,0,0,0,3,0,1,2,0.00,0.05,0.05,0.15,0.4,0.4
2026-09-19T00:30:59+00:00,2026-09-18,daily,6,2026-10-10T10:00:00Z,17,Merino,ARS,MID,58,0,-2,0.4,52,126,8789,45416,a,,,,,,,,0.6,0,3,51,0,0,0,0,0,0,6,0,0,6,0.14,0.02,0.16,0.26,0.6,0.6
2026-09-19T00:30:59+00:00,2026-09-18,daily,6,2026-10-10T10:00:00Z,18,Martinelli,ARS,MID,63,0,-2,0.1,0,41,2483,21342,u,Has joined Al Hilal permanently,2026-09-04T12:34:46.738449Z,0,0,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0
2026-09-19T00:30:59+00:00,2026-09-18,daily,6,2026-10-10T10:00:00Z,19,Zubimendi,ARS,MID,53,0,-2,0.6,28,190,8043,63133,a,,,,,,,,0.8,0,4,59,0,0,0,0,0,0,11,4,4,3,0.08,0.04,0.12,0.68,0.8,0.8
2026-09-19T00:30:59+00:00,2026-09-18,daily,6,2026-10-10T10:00:00Z,20,Dowman,ARS,MID,53,0,-2,0.1,18,28,2606,6747,a,,,,,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0
2026-09-19T00:30:59+00:00,2026-09-18,daily,6,2026-10-10T10:00:00Z,22,Nwaneri,ARS,MID,54,0,-1,0.0,0,4,233,1204,u,Has joined Borussia Dortmund on loan for the rest of the season,2026-09-02T16:01:07.058827Z,0,0,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0
2026-09-19T00:30:59+00:00,2026-09-18,daily,6,2026-10-10T10:00:00Z,23,Fábio Vieira,ARS,MID,55,0,0,0.0,0,5,255,884,u,Has joined Hamburger SV permanently,2026-09-02T16:00:28.446370Z,0,0,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0
2026-09-19T00:30:59+00:00,2026-09-18,daily,6,2026-10-10T10:00:00Z,24,Nelson,ARS,MID,55,0,0,0.0,0,2,68,656,u,has departed the club as a free agent.,2026-08-29T00:33:08.556767Z,0,0,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0
2026-09-19T00:30:59+00:00,2026-09-18,daily,6,2026-10-10T10:00:00Z,25,Gyökeres,ARS,FWD,72,0,-3,3.2,425,883,28648,595207,a,,,,,2,,,0.2,0,1,12,0,0,0,0,0,0,1,0,0,1,0.00,0.00,0.00,0.11,0.2,0.2
2026-09-19T00:30:59+00:00,2026-09-18,daily,6,2026-10-10T10:00:00Z,26,Havertz,ARS,FWD,76,0,1,8.5,6424,1498,609657,361970,a,,,,,,,,3.4,0,17,347,4,2,0,3,1,0,10,4,0,6,0.89,0.35,1.24,2.60,3.4,3.4
2026-09-19T00:30:59+00:00,2026-09-18,daily,6,2026-10-10T10:00:00Z,27,G.Jesus,ARS,FWD,59,0,-1,0.2,0,60,4164,28335,u,Has joined FC Barcelona permanently,2026-09-02T16:00:28.475184Z,0,0,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0
2026-09-19T00:30:59+00:00,2026-09-18,daily,6,2026-10-10T10:00:00Z,31,Konsa,ARS,DEF,46,1,1,19.4,24872,1218,1398179,592326,a,,,,,,,,2.2,0,11,191,2,0,0,1,1,0,19,14,5,6,0.00,0.01,0.01,2.19,2.2,2.2
2026-09-19T00:30:59+00:00,2026-09-18,daily,6,2026-10-10T10:00:00Z,452,Bruno G.,ARS,MID,67,0,-3,1.8,325,220,25271,237293,a,,2026-09-04T14:00:08.328779Z,100,100,4,,4,1.6,0,8,64,0,1,0,0,0,0,6,1,1,4,0.09,0.15,0.24,1.57,1.6,1.6
2026-09-19T00:30:59+00:00,2026-09-18,daily,6,2026-10-10T10:00:00Z,557,Tzolis,ARS,MID,64,0,-1,13.4,881,11685,451248,1474893,a,,,,,,,3,2.8,0,14,290,4,0,2,2,1,0,20,6,3,11,0.19,0.48,0.67,1.96,2.8,2.8
2026-09-19T00:30:59+00:00,2026-09-18,daily,6,2026-10-10T10:00:00Z,29,M.Bizot,AVL,GKP,45,0,0,0.1,3,62,4597,6438,i,Back injury - Expected back 10 Oct,2026-09-17T07:30:09.058151Z,0,0,,,,0.2,0,1,90,1,0,0,0,4,3,0,2,0,6,0.00,0.00,0.00,3.77,0.0,0.0
2026-09-19T00:30:59+00:00,2026-09-18,daily,6,2026-10-10T10:00:00Z,30,Digne,AVL,DEF,45,0,0,0.1,0,13,0,8424,u,Has joined Paris Saint-Germain permanently,2026-08-10T14:03:30.089007Z,0,0,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0
2026-09-19T00:30:59+00:00,2026-09-18,daily,6,2026-10-10T10:00:00Z,32,Cash,AVL,DEF,44,0,-1,5.1,241,821,92892,394810,a,,2026-09-09T14:30:08.192142Z,100,100,,,1,1.4,0,7,251,3,0,0,1,5,0,14,8,6,2,0.15,0.04,0.19,5.03,1.4,1.4
2026-09-19T00:30:59+00:00,2026-09-18,daily,6,2026-10-10T10:00:00Z,33,Mings,AVL,DEF,45,0,0,0.4,72,63,14792,16087,a,,,,,,,,1.4,0,7,171,1,0,0,1,2,0,11,8,3,4,0.20,0.02,0.22,2.87,1.4,1.4
2026-09-19T00:30:59+00:00,2026-09-18,daily,6,2026-10-10T10:00:00Z,34,Pau,AVL,DEF,45,0,0,0.3,1,277,11194,24635,i,Hamstring injury - Expected back 10 Oct,2026-09-12T18:00:08.712707Z,0,0,,,,0.6,0,3,187,3,0,0,0,5,0,9,8,1,9,0.00,0.01,0.01,4.79,0.0,0.0
2026-09-19T00:30:59+00:00,2026-09-18,daily,6,2026-10-10T10:00:00Z,35,Bogarde,AVL,MID,50,0,0,0.1,9,14,2750,4342,a,,,,,,,,0.2,0,1,16,0,0,0,0,0,0,1,1,0,0,0.00,0.00,0.00,0.22,0.2,0.2
2026-09-19T00:30:59+00:00,2026-09-18,daily,6,2026-10-10T10:00:00Z,36,Maatsen,AVL,DEF,45,0,0,0.6,1,512,31843,56250,i,Ankle injury - Unknown return date,2026-09-12T18:00:08.729468Z,0,0,,,,1.8,0,9,335,4,0,0,1,7,0,24,17,7,10,0.28,0.45,0.73,6.54,0.0,0.0
2026-09-19T00:30:59+00:00,2026-09-18,daily,6,2026-10-10T10:00:00Z,37,Lindelöf,AVL,DEF,45,0,0,0.3,44,64,13644,13087,a,,,,,,,,1.4,0,7,360,4,0,0,1,7,0,16,15,1,5,0.44,0.17,0.61,7.66,1.4,1.4
2026-09-19T00:30:59+00:00,2026-09-18,daily,6,2026-10-10T10:00:00Z,38,A.García,AVL,DEF,40,0,0,1.6,171,248,43617,62148,a,,,,,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0
2026-09-19T00:30:59+00:00,2026-09-18,daily,6,2026-10-10T10:00:00Z,39,Nedeljkovic,AVL,DEF,40,0,0,0.1,0,20,0,14705,u,Has joined Rangers on loan for the rest of the season,2026-08-19T13:56:46.385411Z,0,0,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0
2026-09-19T00:30:59+00:00,2026-09-18,daily,6,2026-10-10T10:00:00Z,41,Buendía,AVL,MID,59,0,-1,0.9,103,411,48087,91556,a,,,,,1,1,3,1.8,0,9,311,4,0,0,1,6,0,19,3,2,14,0.78,0.17,0.95,6.30,1.8,1.8
2026-09-19T00:30:59+00:00,2026-09-18,daily,6,2026-10-10T10:00:00Z,44,Bailey,AVL,MID,54,0,-1,0.1,0,31,2096,12762,u,Has joined Olympiakos permanently,2026-09-04T12:35:14.472260Z,0,0,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0
2026-09-19T00:30:59+00:00,2026-09-18,daily,6,2026-10-10T10:00:00Z,45,McGinn,AVL,MID,54,0,-1,2.2,265,441,64096,147403,a,,,,,,,2,2.2,0,11,351,4,0,1,1,7,0,24,6,5,13,0.77,0.20,0.97,7.51,2.2,2.2
2026-09-19T00:30:59+00:00,2026-09-18,daily,6,2026-10-10T10:00:00Z,46,Barkley,AVL,MID,50,0,0,0.3,52,76,15609,14553,a,,,,,,,4,1.8,0,9,302,4,0,0,1,6,0,24,4,7,13,0.38,0.14,0.52,6.58,1.8,1.8
2026-09-19T00:30:59+00:00,2026-09-18,daily,6,2026-10-10T10:00:00Z,47,Kamara,AVL,MID,50,0,0,0.3,40,97,13249,20045,a,,2026-07-23T12:01:23.337269Z,100,100,,,,1.8,0,9,360,4,0,0,1,7,0,30,10,7,13,0.00,0.15,0.15,7.66,1.8,1.8
2026-09-19T00:30:59+00:00,2026-09-18,daily,6,2026-10-10T10:00:00Z,48,Onana,AVL,MID,49,0,-1,0.0,3,4,474,1574,i,Knee injury - Unknown return date,2026-07-23T12:01:23.352497Z,0,0,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0
2026-09-19T00:30:59+00:00,2026-09-18,daily,6,2026-10-10T10:00:00Z,49,Iling Jr,AVL,MID,50,0,0,0.0,0,0,0,225,u,Has joined Bolton Wanderers on loan for the rest of the season,2026-08-17T13:52:28.532616Z,0,0,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0
2026-09-19T00:30:59+00:00,2026-09-18,daily,6,2026-10-10T10:00:00Z,50,Burrowes,AVL,MID,45,0,0,0.6,58,161,20883,31885,a,,,,,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0
2026-09-19T00:30:59+00:00,2026-09-18,daily,6,2026-10-10T10:00:00Z,51,George Hemmings,AVL,MID,45,0,0,1.2,229,604,112912,60537,a,,,,,,,,1.6,0,8,279,4,0,0,1,5,0,19,3,6,10,0.07,0.16,0.23,5.39,1.6,1.6
2026-09-19T00:30:59+00:00,2026-09-18,daily,6,2026-10-10T10:00:00Z,52,Alysson,AVL,MID,50,0,0,0.1,22,16,3308,2879,a,,,,,,,,1.6,0,8,87,0,1,0,0,2,0,8,2,2,4,0.06,0.00,0.06,2.40,1.6,1.6
